Agency,Mode,Month,Riders
Central Puget Sound Regional Transit Authority,Commuter Bus,4/1/2019,341525
Central Puget Sound Regional Transit Authority,Commuter Bus,5/1/2019,345627
Central Puget Sound Regional Transit Authority,Commuter Bus,6/1/2019,324732
Central Puget Sound Regional Transit Authority,Commuter Bus,7/1/2019,334831
Central Puget Sound Regional Transit Authority,Commuter Bus,8/1/2019,337882
Central Puget Sound Regional Transit Authority,Commuter Bus,9/1/2019,308127
Central Puget Sound Regional Transit Authority,Commuter Bus,10/1/2019,342880
Central Puget Sound Regional Transit Authority,Commuter Bus,11/1/2019,290825
Central Puget Sound Regional Transit Authority,Commuter Bus,12/1/2019,277066
Central Puget Sound Regional Transit Authority,Commuter Bus,1/1/2020,288877
Central Puget Sound Regional Transit Authority,Commuter Bus,2/1/2020,283899
Central Puget Sound Regional Transit Authority,Commuter Bus,3/1/2020,136498
Central Puget Sound Regional Transit Authority,Commuter Bus,4/1/2020,53891
Central Puget Sound Regional Transit Authority,Commuter Bus,5/1/2020,60998
Central Puget Sound Regional Transit Authority,Commuter Bus,6/1/2020,72688
Central Puget Sound Regional Transit Authority,Commuter Bus,7/1/2020,76765
Central Puget Sound Regional Transit Authority,Commuter Bus,8/1/2020,75766
Central Puget Sound Regional Transit Authority,Commuter Bus,9/1/2020,71853
Central Puget Sound Regional Transit Authority,Commuter Bus,10/1/2020,74675
Central Puget Sound Regional Transit Authority,Commuter Bus,11/1/2020,63281
Central Puget Sound Regional Transit Authority,Commuter Bus,12/1/2020,61837
Central Puget Sound Regional Transit Authority,Commuter Bus,1/1/2021,59872
Central Puget Sound Regional Transit Authority,Commuter Bus,2/1/2021,57332
Central Puget Sound Regional Transit Authority,Commuter Bus,3/1/2021,74390
Central Puget Sound Regional Transit Authority,Commuter Bus,4/1/2021,77878
Central Puget Sound Regional Transit Authority,Commuter Bus,5/1/2021,78902
Central Puget Sound Regional Transit Authority,Commuter Bus,6/1/2021,88520
Central Puget Sound Regional Transit Authority,Commuter Bus,7/1/2021,103271
Central Puget Sound Regional Transit Authority,Commuter Bus,8/1/2021,106460
Central Puget Sound Regional Transit Authority,Commuter Bus,9/1/2021,103611
Central Puget Sound Regional Transit Authority,Commuter Bus,10/1/2021,99481
Central Puget Sound Regional Transit Authority,Commuter Bus,11/1/2021,91580
Central Puget Sound Regional Transit Authority,Commuter Bus,12/1/2021,83017
Central Puget Sound Regional Transit Authority,Commuter Bus,1/1/2022,75897
Central Puget Sound Regional Transit Authority,Commuter Bus,2/1/2022,84287
Central Puget Sound Regional Transit Authority,Commuter Bus,3/1/2022,102438
Central Puget Sound Regional Transit Authority,Commuter Bus,4/1/2022,109723
Central Puget Sound Regional Transit Authority,Commuter Bus,5/1/2022,111490
Central Puget Sound Regional Transit Authority,Commuter Bus,6/1/2022,111760
Central Puget Sound Regional Transit Authority,Commuter Bus,7/1/2022,110861
Central Puget Sound Regional Transit Authority,Commuter Bus,8/1/2022,119457
Central Puget Sound Regional Transit Authority,Commuter Bus,9/1/2022,119577
Central Puget Sound Regional Transit Authority,Commuter Bus,10/1/2022,137981
Central Puget Sound Regional Transit Authority,Commuter Bus,11/1/2022,119474
Central Puget Sound Regional Transit Authority,Commuter Bus,12/1/2022,99087
Central Puget Sound Regional Transit Authority,Commuter Bus,1/1/2023,124874
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2012,192483
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2012,218494
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2012,225436
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2012,229540
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2012,242212
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2012,245713
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2012,217290
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2012,249150
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2012,228438
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2012,289460
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2012,257131
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2012,216544
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2013,239497
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2013,220891
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2013,233339
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2013,246708
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2013,257580
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2013,239507
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2013,260184
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2013,246870
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2013,242844
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2013,289843
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2013,247232
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2013,243546
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2014,256775
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2014,251381
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2014,251786
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2014,283395
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2014,267902
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2014,265830
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2014,288870
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2014,275403
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2014,308511
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2014,345320
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2014,283384
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2014,282761
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2015,309042
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2015,281379
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2015,310952
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2015,326002
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2015,292793
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2015,323747
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2015,333000
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2015,327553
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2015,340440
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2015,366543
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2015,324993
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2015,315387
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2016,338568
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2016,348403
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2016,375496
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2016,348997
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2016,366033
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2016,372263
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2016,333191
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2016,384225
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2016,376388
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2016,380015
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2016,358959
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2016,329575
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2017,367327
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2017,314596
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2017,393033
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2017,341642
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2017,386271
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2017,384868
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2017,354275
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2017,407428
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2017,359493
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2017,414292
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2017,375919
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2017,346424
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2018,415782
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2018,351799
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2018,395008
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2018,374000
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2018,406963
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2018,387939
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2018,389622
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2018,416747
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2018,343649
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2018,441979
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2018,373958
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2018,334079
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2019,418467
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2019,315873
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2019,378880
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2019,406953
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2019,394316
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2019,363151
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2019,391580
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2019,398018
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2019,384018
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2019,442159
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2019,367610
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2019,351390
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2020,383672
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2020,371382
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2020,156537
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2020,27700
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2020,29187
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2020,37830
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2020,39932
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2020,39722
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2020,43966
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2020,50449
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2020,41206
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2020,44299
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2021,41329
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2021,43437
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2021,54694
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2021,50467
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2021,48396
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2021,57813
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2021,63184
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2021,65835
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2021,74362
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2021,82074
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2021,82106
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2021,70784
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2022,65371
Central Puget Sound Regional Transit Authority,Commuter Rail,2/1/2022,73213
Central Puget Sound Regional Transit Authority,Commuter Rail,3/1/2022,103628
Central Puget Sound Regional Transit Authority,Commuter Rail,4/1/2022,96042
Central Puget Sound Regional Transit Authority,Commuter Rail,5/1/2022,102648
Central Puget Sound Regional Transit Authority,Commuter Rail,6/1/2022,115575
Central Puget Sound Regional Transit Authority,Commuter Rail,7/1/2022,110842
Central Puget Sound Regional Transit Authority,Commuter Rail,8/1/2022,129658
Central Puget Sound Regional Transit Authority,Commuter Rail,9/1/2022,149598
Central Puget Sound Regional Transit Authority,Commuter Rail,10/1/2022,155834
Central Puget Sound Regional Transit Authority,Commuter Rail,11/1/2022,156131
Central Puget Sound Regional Transit Authority,Commuter Rail,12/1/2022,123363
Central Puget Sound Regional Transit Authority,Commuter Rail,1/1/2023,103992
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2012,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2013,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2014,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2015,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2016,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2017,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2018,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2019,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2020,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2021,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,2/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,3/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,4/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,5/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,6/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,7/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,8/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,9/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,10/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,11/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,12/1/2022,0
Central Puget Sound Regional Transit Authority,Demand Response,1/1/2023,0
Central Puget Sound Regional Transit Authority,Light Rail,1/1/2012,597043
Central Puget Sound Regional Transit Authority,Light Rail,2/1/2012,571563
Central Puget Sound Regional Transit Authority,Light Rail,3/1/2012,654013
Central Puget Sound Regional Transit Authority,Light Rail,4/1/2012,661116
Central Puget Sound Regional Transit Authority,Light Rail,5/1/2012,756835
Central Puget Sound Regional Transit Authority,Light Rail,6/1/2012,775829
Central Puget Sound Regional Transit Authority,Light Rail,7/1/2012,836940
Central Puget Sound Regional Transit Authority,Light Rail,8/1/2012,871848
Central Puget Sound Regional Transit Authority,Light Rail,9/1/2012,801785
Central Puget Sound Regional Transit Authority,Light Rail,10/1/2012,775432
Central Puget Sound Regional Transit Authority,Light Rail,11/1/2012,713059
Central Puget Sound Regional Transit Authority,Light Rail,12/1/2012,684358
Central Puget Sound Regional Transit Authority,Light Rail,1/1/2013,679711
Central Puget Sound Regional Transit Authority,Light Rail,2/1/2013,634347
Central Puget Sound Regional Transit Authority,Light Rail,3/1/2013,736723
Central Puget Sound Regional Transit Authority,Light Rail,4/1/2013,734887
Central Puget Sound Regional Transit Authority,Light Rail,5/1/2013,762647
Central Puget Sound Regional Transit Authority,Light Rail,6/1/2013,900390
Central Puget Sound Regional Transit Authority,Light Rail,7/1/2013,958402
Central Puget Sound Regional Transit Authority,Light Rail,8/1/2013,964500
Central Puget Sound Regional Transit Authority,Light Rail,9/1/2013,848964
Central Puget Sound Regional Transit Authority,Light Rail,10/1/2013,877128
Central Puget Sound Regional Transit Authority,Light Rail,11/1/2013,783809
Central Puget Sound Regional Transit Authority,Light Rail,12/1/2013,848519
Central Puget Sound Regional Transit Authority,Light Rail,1/1/2014,788557
Central Puget Sound Regional Transit Authority,Light Rail,2/1/2014,738121
Central Puget Sound Regional Transit Authority,Light Rail,3/1/2014,824711
Central Puget Sound Regional Transit Authority,Light Rail,4/1/2014,848417
Central Puget Sound Regional Transit Authority,Light Rail,5/1/2014,949623
Central Puget Sound Regional Transit Authority,Light Rail,6/1/2014,1006414
Central Puget Sound Regional Transit Authority,Light Rail,7/1/2014,1088944
Central Puget Sound Regional Transit Authority,Light Rail,8/1/2014,1111505
Central Puget Sound Regional Transit Authority,Light Rail,9/1/2014,979407
Central Puget Sound Regional Transit Authority,Light Rail,10/1/2014,915131
Central Puget Sound Regional Transit Authority,Light Rail,11/1/2014,817518
Central Puget Sound Regional Transit Authority,Light Rail,12/1/2014,869535
Central Puget Sound Regional Transit Authority,Light Rail,1/1/2015,831779
Central Puget Sound Regional Transit Authority,Light Rail,2/1/2015,755940
Central Puget Sound Regional Transit Authority,Light Rail,3/1/2015,837277
Central Puget Sound Regional Transit Authority,Light Rail,4/1/2015,923815
Central Puget Sound Regional Transit Authority,Light Rail,5/1/2015,971753
Central Puget Sound Regional Transit Authority,Light Rail,6/1/2015,1059864
Central Puget Sound Regional Transit Authority,Light Rail,7/1/2015,1142077
Central Puget Sound Regional Transit Authority,Light Rail,8/1/2015,1153008
Central Puget Sound Regional Transit Authority,Light Rail,9/1/2015,1010264
Central Puget Sound Regional Transit Authority,Light Rail,10/1/2015,1024121
Central Puget Sound Regional Transit Authority,Light Rail,11/1/2015,891116
Central Puget Sound Regional Transit Authority,Light Rail,12/1/2015,929397
Central Puget Sound Regional Transit Authority,Light Rail,1/1/2016,872264
Central Puget Sound Regional Transit Authority,Light Rail,2/1/2016,869163
Central Puget Sound Regional Transit Authority,Light Rail,3/1/2016,1264457
Central Puget Sound Regional Transit Authority,Light Rail,4/1/2016,1667543
Central Puget Sound Regional Transit Authority,Light Rail,5/1/2016,1777706
Central Puget Sound Regional Transit Authority,Light Rail,6/1/2016,1791178
Central Puget Sound Regional Transit Authority,Light Rail,7/1/2016,1797117
Central Puget Sound Regional Transit Authority,Light Rail,8/1/2016,1956089
Central Puget Sound Regional Transit Authority,Light Rail,9/1/2016,1829623
Central Puget Sound Regional Transit Authority,Light Rail,10/1/2016,1786226
Central Puget Sound Regional Transit Authority,Light Rail,11/1/2016,1701172
Central Puget Sound Regional Transit Authority,Light Rail,12/1/2016,1698830
Central Puget Sound Regional Transit Authority,Light Rail,1/1/2017,1752782
Central Puget Sound Regional Transit Authority,Light Rail,2/1/2017,1542449
Central Puget Sound Regional Transit Authority,Light Rail,3/1/2017,1851004
Central Puget Sound Regional Transit Authority,Light Rail,4/1/2017,1839637
Central Puget Sound Regional Transit Authority,Light Rail,5/1/2017,2035549
Central Puget Sound Regional Transit Authority,Light Rail,6/1/2017,2103345
Central Puget Sound Regional Transit Authority,Light Rail,7/1/2017,2086270
Central Puget Sound Regional Transit Authority,Light Rail,8/1/2017,2118995
Central Puget Sound Regional Transit Authority,Light Rail,9/1/2017,2010039
Central Puget Sound Regional Transit Authority,Light Rail,10/1/2017,2026950
Central Puget Sound Regional Transit Authority,Light Rail,11/1/2017,1874535
Central Puget Sound Regional Transit Authority,Light Rail,12/1/2017,1760708
Central Puget Sound Regional Transit Authority,Light Rail,1/1/2018,1829404
Central Puget Sound Regional Transit Authority,Light Rail,2/1/2018,1663763
Central Puget Sound Regional Transit Authority,Light Rail,3/1/2018,1982208
Central Puget Sound Regional Transit Authority,Light Rail,4/1/2018,1902066
Central Puget Sound Regional Transit Authority,Light Rail,5/1/2018,2245188
Central Puget Sound Regional Transit Authority,Light Rail,6/1/2018,2188281
Central Puget Sound Regional Transit Authority,Light Rail,7/1/2018,2307524
Central Puget Sound Regional Transit Authority,Light Rail,8/1/2018,2317472
Central Puget Sound Regional Transit Authority,Light Rail,9/1/2018,2066139
Central Puget Sound Regional Transit Authority,Light Rail,10/1/2018,2148232
Central Puget Sound Regional Transit Authority,Light Rail,11/1/2018,2029617
Central Puget Sound Regional Transit Authority,Light Rail,12/1/2018,1790370
Central Puget Sound Regional Transit Authority,Light Rail,1/1/2019,2219086
Central Puget Sound Regional Transit Authority,Light Rail,2/1/2019,1960679
Central Puget Sound Regional Transit Authority,Light Rail,3/1/2019,2199818
Central Puget Sound Regional Transit Authority,Light Rail,4/1/2019,2183118
Central Puget Sound Regional Transit Authority,Light Rail,5/1/2019,2211036
Central Puget Sound Regional Transit Authority,Light Rail,6/1/2019,2120133
Central Puget Sound Regional Transit Authority,Light Rail,7/1/2019,2124221
